line,station,latitude,longitude
MRT-3,North Avenue,14.65217,121.032333
MRT-3,Quezon Avenue,14.6427595,121.0385078
MRT-3,GMA–Kamuning,14.6352168,121.0433426
MRT-3,Araneta Center–Cubao,14.6194878,121.0511312
MRT-3,Santolan–Annapolis,14.607331,121.05643
MRT-3,Ortigas,14.5878494,121.0567228
MRT-3,Shaw Boulevard,14.5812058,121.0535974
MRT-3,Guadalupe,14.5667504,121.0454767
MRT-3,Buendia (Gil Puyat),14.5907065,121.0575444
MRT-3,Ayala,14.5491906,121.0279696
MRT-3,Magallanes,14.5420229,121.0194852
MRT-3,Taft Avenue,14.537669,121.0021747
LRT-1,Fernando Poe Jr.,14.6576046,121.0211008
LRT-1,Balintawak,14.6573825,121.0037291
LRT-1,Monumento,14.654367,120.983894
LRT-1,5th Avenue,14.644413,120.983572
LRT-1,R. Papa,14.636153,120.9823424
LRT-1,Abad Santos,14.6305858,120.981422
LRT-1,Blumentritt,14.6227455,120.9835353
LRT-1,Tayuman,14.6167556,120.9827363
LRT-1,Bambang,14.6110994,120.9824944
LRT-1,Doroteo Jose,14.6053478,120.9819727
LRT-1,Carriedo,14.5991203,120.9813524
LRT-1,Central Terminal,14.592752,120.981633
LRT-1,UN Avenue,14.58255,120.984621
LRT-1,Pedro Gil,14.5763209,120.9881877
LRT-1,Quirino,14.5703,120.99156
LRT-1,Vito Cruz,14.5633444,120.9948514
LRT-1,Gil Puyat,14.5542936,120.9971074
LRT-1,Libertad,14.54761193,120.9986572
LRT-1,EDSA-Taft,14.5389391,121.0006289
LRT-1,Baclaran,14.53424807,120.9983873
LRT-1,Redemptorist–Aseana,14.5302126,120.9928225
LRT-1,MIA Road,14.51851,120.993
LRT-1,Asia World (PITX),14.50851269,120.9911699
LRT-1,Ninoy Aquino Avenue,14.4989828,120.994309
LRT-1,Dr. Santos,14.4852477,120.9894203
LRT-2,Recto,14.603515,120.9830741
LRT-2,Legarda,14.600866,120.9925759
LRT-2,Pureza,14.6017463,121.0051781
LRT-2,V. Mapa,14.60408,121.01714
LRT-2,J. Ruiz,14.6105536,121.0262084
LRT-2,Gilmore,14.6135308,121.0341755
LRT-2,Betty Go–Belmonte,14.6185586,121.0428254
LRT-2,Cubao,14.6226856,121.052612
LRT-2,Anonas,14.628014,121.064752
LRT-2,Katipunan,14.6307723,121.0727009
LRT-2,Santolan,14.6221158,121.0859403
LRT-2,Marikina-Pasig,14.6203868,121.1002749
LRT-2,Antipolo,14.6234788,121.1191667
PNR,Tutuban,14.6113659,120.9730783
PNR,Blumentritt,14.6226051,120.9836182
PNR,Pandacan,14.59024,121.0088
PNR,Paco,14.5792577,120.9994422
PNR,San Andres,14.5732462,120.9994465
PNR,Vito Cruz,14.5672048,121.0028396
